County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	178902	779	550	82923	311	231	62	110	49946	230	166	37	82	41323	213	138	99	24	4710	25	15	22	4	51	26	29971	109	61	122318	528	388	26613	142	101	78443	377	234	94961	393	298	18141	50	43	24651	69	44	917	4	4	4530	36	23	2369	21	6	51589	388	209	33267	136	95	23048	78	42	25345	83	63	24559	65	69	20386	29	71	12493	112	50	21369	158	79
Baker	14601	60	45	6531	14	23	30	0	6503	29	16	0	37	1358	16	6	7	1	209	1	0	1	0	29	0	1309	4	7	12752	54	38	540	2	0	6766	21	23	7774	39	22	794	4	5	1204	4	7	35	0	0	34	0	0	54	0	0	2381	29	9	2405	5	7	2593	6	7	2869	7	5	2379	10	8	1883	1	9	1198	15	5	708	8	1
Bay	125418	656	294	35770	115	95	58	37	61187	320	144	28	101	25345	207	50	63	21	3116	14	5	14	4	48	15	11462	46	21	105018	549	253	8938	61	20	58351	323	146	65479	329	146	6550	25	10	8878	28	16	664	2	2	772	7	1	980	10	2	21937	239	46	20526	120	33	20167	83	37	24143	109	48	20219	62	38	18240	42	92	9250	105	20	5200	48	13
Bradford	16065	61	50	7006	6	19	17	2	6659	29	23	2	20	2118	25	6	3	1	282	1	2	1	0	17	1	2145	6	4	13340	52	44	580	3	2	7427	28	26	8517	33	23	1238	3	1	1864	3	4	98	1	0	65	0	0	51	0	0	2721	23	10	2411	8	7	2354	12	5	2889	5	4	2822	3	8	2838	8	16	1274	12	4	809	2	4
Brevard	421432	2247	683	136378	520	219	196	128	172022	841	305	77	399	97299	799	128	269	65	15733	87	31	72	22	160	42	35408	147	30	343872	1796	601	42152	304	52	196451	1087	357	220694	1120	317	20012	78	12	27632	85	22	1629	5	1	8730	51	10	5659	43	12	65165	697	108	53546	279	58	57255	263	50	84618	406	78	74598	363	108	83876	233	277	20195	232	38	18878	163	37
Broward	1228907	3843	2185	617273	1464	1083	266	201	264144	718	523	87	375	326758	1546	532	365	151	20732	115	47	43	34	168	30	282776	771	390	605703	1729	1372	340428	1343	423	549286	1868	1093	645777	1848	1045	163486	375	205	227715	502	320	8654	25	10	97034	346	120	48299	165	75	201933	1236	316	198380	713	278	210503	579	242	241527	583	298	183564	392	372	189716	333	671	28898	181	51	96234	459	153
Calhoun	8602	14	22	5693	3	16	6	1	1989	9	5	0	7	823	2	1	2	0	97	0	0	0	0	6	0	792	0	1	7471	13	20	339	1	1	3979	9	10	4514	4	12	455	0	1	733	0	1	16	0	0	41	0	0	23	0	0	1569	9	5	1215	0	3	1209	0	3	1442	3	0	1330	2	2	1375	0	9	398	5	1	874	2	3
Charlotte	131636	1184	391	38261	286	121	66	51	54979	480	156	19	177	32552	363	99	130	14	5844	55	15	31	4	61	13	5371	32	9	117256	1075	351	9009	77	31	61101	555	194	69018	602	195	3003	21	4	4022	25	8	266	1	0	1650	19	4	977	4	5	14058	254	41	10099	75	31	12899	90	29	21798	215	54	30848	360	71	41246	188	163	4038	83	11	3784	64	10
Citrus	107441	703	300	32912	191	93	132	49	46185	295	126	25	250	24556	188	66	139	23	3788	29	15	31	5	113	19	2509	15	8	98301	640	279	6631	48	13	50123	362	157	56502	330	140	1347	4	2	1940	12	4	149	0	2	1177	10	4	762	9	2	12617	126	35	9432	67	19	11184	61	26	17648	134	28	23468	202	51	32552	108	141	4364	46	13	3194	35	7
Clay	148149	843	417	33419	180	117	47	36	77822	355	183	24	111	32659	278	108	87	23	4249	30	9	19	7	42	5	14644	104	37	117475	621	341	16030	118	39	69745	382	181	76609	441	229	7982	54	26	10324	68	30	1008	3	0	2207	13	8	2432	16	5	28332	320	79	23340	126	59	26228	110	56	28111	116	61	22714	115	66	18533	55	93	12540	126	25	5539	64	18
