County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	181376	1745	1237	85750	862	582	214	543	51281	554	386	145	436	39846	305	251	658	80	4499	24	18	64	22	168	105	671	7	2	5937	85	39	30164	242	202	11562	258	160	123773	1036	753	9269	117	81	79402	679	513	96143	939	671	18239	152	120	24891	199	165	934	10	6	5025	155	85	2496	67	45	53499	1217	700	33494	180	225	23161	111	69	25400	105	80	24647	74	76	20444	56	87	13022	364	210	23644	654	328
Baker	14901	158	60	6226	33	19	87	15	7140	96	34	10	116	1342	29	5	40	5	193	0	2	3	4	84	4	74	6	0	69	0	0	1321	12	7	135	4	0	13025	129	51	277	7	2	6923	86	25	7907	66	34	799	6	5	1213	10	7	39	1	0	32	1	0	61	2	0	2573	81	17	2445	33	12	2622	15	7	2897	17	6	2395	9	10	1881	3	8	1369	53	9	729	16	7
Bay	127687	1242	451	35921	272	145	320	207	63763	596	232	74	821	25012	356	70	652	82	2991	18	4	80	16	278	37	711	13	1	1867	24	3	11615	106	45	2863	61	17	106797	952	372	3834	86	13	59412	582	201	66509	589	244	6625	45	20	9001	72	35	673	7	3	824	21	5	1022	15	7	22976	489	96	20911	227	71	20427	183	58	24418	166	59	20468	106	70	18286	67	96	9829	227	43	5580	116	37
Bradford	16262	174	71	6781	39	30	92	16	7096	97	31	3	125	2111	34	8	50	7	274	4	2	3	0	86	2	48	0	0	82	0	0	2165	18	8	166	6	0	13503	143	62	298	7	1	7540	85	32	8597	85	38	1243	9	5	1878	15	7	101	0	0	69	4	0	49	1	0	2792	54	21	2470	32	7	2382	30	4	2926	36	9	2832	14	12	2827	7	17	1328	32	9	818	12	8
Brevard	427735	3366	1145	138598	968	423	856	968	178093	1239	458	287	2151	95703	1042	222	2056	231	15341	117	42	280	129	691	162	1632	12	8	6668	70	12	35908	323	106	22892	337	69	348466	2463	907	12169	161	43	199419	1608	565	223854	1653	562	20274	174	66	28071	229	84	1663	15	6	9093	141	33	6038	82	19	67468	1341	247	54660	515	120	57942	414	97	85510	461	156	75613	380	150	84120	247	371	21231	435	84	20192	421	98
Broward	1247432	9166	4807	628246	4209	2494	1392	3103	272690	1721	1138	518	2666	326072	3042	1101	4217	548	20424	194	74	281	91	993	361	3933	28	9	30533	269	83	287546	2090	908	236672	2624	995	609670	3249	2552	79078	906	260	557183	3933	2085	654248	4462	2584	165944	1145	566	231706	1529	752	8871	61	29	101025	1126	450	50591	484	247	213326	4384	1159	200921	1409	836	212065	1135	566	243103	1019	683	184857	717	537	189812	491	1011	31313	630	196	103242	2101	627
Calhoun	8660	58	41	5463	19	27	16	15	2285	32	10	12	18	819	6	3	7	1	93	1	1	0	1	14	12	85	0	2	34	0	0	794	4	4	93	3	0	7514	47	35	140	4	0	4012	24	12	4539	33	29	461	4	3	736	4	3	17	0	0	44	0	0	26	1	0	1610	25	11	1221	8	6	1221	10	3	1458	7	7	1330	7	2	1356	1	11	439	14	2	872	8	9
Charlotte	133468	1084	582	38721	258	174	256	248	57352	494	248	67	687	31752	294	136	612	91	5643	38	24	112	21	196	34	488	3	2	1174	10	3	5419	45	21	4148	57	18	118864	940	526	3375	29	12	61995	513	267	69896	542	310	3023	23	13	4062	30	18	265	2	1	1724	23	7	1038	14	4	14389	251	82	10265	99	42	13080	132	42	22260	209	78	31447	245	95	41330	147	240	4175	82	30	3971	69	22
Citrus	109012	969	473	32904	243	149	359	212	48535	442	213	62	827	23947	260	94	635	95	3626	24	17	103	25	287	34	378	4	2	1187	10	6	2540	34	11	2875	47	12	99645	825	434	2387	49	8	50853	451	219	57229	460	249	1357	16	7	1965	21	9	159	5	1	1226	21	6	827	15	4	13024	264	66	9635	112	50	11358	121	39	17935	153	65	23877	180	59	32631	139	192	4619	107	23	3358	76	21
Clay	149488	1515	1364	33725	394	444	386	374	79980	685	566	91	1237	31690	407	318	1124	87	4093	29	36	121	24	344	47	682	5	10	3642	34	25	14771	215	250	7739	132	87	118376	1042	949	4278	87	43	70342	681	591	77274	758	758	8022	115	159	10476	155	198	1027	12	12	2286	43	30	2571	31	30	28864	607	381	23615	322	322	26297	225	231	28288	158	186	22891	130	107	18624	66	135	12921	264	145	5836	150	118
Collier	221136	2082	668	53250	507	164	315	385	109278	873	343	150	926	53252	646	151	932	159	5356	56	10	94	21	231	70	346	2	1	1812	27	5	8539	102	22	23164	385	88	182154	1484	535	5121	82	17	102874	977	332	116591	1063	332	4441	57	14	6177	59	19	459	9	2	8779	157	27	6099	84	31	28863	656	128	21067	266	84	24984	213	44	35901	314	97	44538	362	90	64964	271	222	9660	236	54	7449	174	46
Columbia	39846	395	236	15801	109	85	158	58	17005	180	118	17	283	6075	98	23	173	20	965	8	10	18	5	145	7	189	1	2	322	3	1	5700	56	35	1055	28	8	31970	294	186	610	13	4	18384	181	109	21278	208	125	3327	28	21	4957	46	31	191	1	0	339	7	2	371	6	6	7056	152	54	5659	73	38	5696	55	28	7210	41	35	7278	41	32	6877	31	49	2920	64	26	2272	42	17
Miami-Dade	1413641	10878	4450	602835	4357	2134	1576	2587	385519	2650	1294	719	3036	404743	3680	958	4069	818	20544	191	64	240	163	1040	431	2538	12	18	16197	119	40	261163	1267	973	785997	7015	2269	271740	1659	961	76006	806	189	617437	4489	1890	754707	5519	2442	148949	698	584	216232	922	817	7586	43	30	243216	2510	769	279643	1922	917	268227	3946	987	232207	1827	679	227458	1627	458	243079	1428	503	195900	1191	511	244512	851	1303	41488	778	155	120567	1754	568
Desoto	16233	148	79	7519	51	42	39	38	5159	44	25	20	77	3305	52	10	57	6	250	1	2	5	0	37	17	47	0	0	86	1	3	1679	13	9	1522	35	1	12646	96	65	253	3	1	7364	64	33	8816	83	46	1000	7	6	1440	7	8	44	0	1	692	19	0	194	2	1	2623	57	9	2054	10	16	1983	18	12	2714	23	8	2947	22	9	3897	18	25	631	16	3	1035	18	6
