County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted	White Democrats Total	White Democrats Added	White Democrats Deleted	White Republicans Total	White Republicans Added	White Republicans Deleted	AoPI Democrats Total	AoPI Democrats Added	AoPI Democrats Deleted	AoPI Republicans Total	AoPI Republicans Added	AoPI Republicans Deleted	American’s Party of Florida Total	American’s Party of Florida Added	American’s Party of Florida Deleted	American’s Party of Florida Changed Out	American’s Party of Florida Changed In	Constitution Party of Florida Total	Constitution Party of Florida Added	Constitution Party of Florida Deleted	Constitution Party of Florida Changed Out	Constitution Party of Florida Changed In	Ecology Party of Florida Total	Ecology Party of Florida Added	Ecology Party of Florida Deleted	Ecology Party of Florida Changed Out	Ecology Party of Florida Changed In	Green Party of Florida Total	Green Party of Florida Added	Green Party of Florida Deleted	Green Party of Florida Changed Out	Green Party of Florida Changed In	Independence Party of Florida Total	Independence Party of Florida Added	Independence Party of Florida Deleted	Independence Party of Florida Changed Out	Independence Party of Florida Changed In	Independent Party of Florida Total	Independent Party of Florida Added	Independent Party of Florida Deleted	Independent Party of Florida Changed Out	Independent Party of Florida Changed In	Libertarian Party of Florida Total	Libertarian Party of Florida Added	Libertarian Party of Florida Deleted	Libertarian Party of Florida Changed Out	Libertarian Party of Florida Changed In	Party for Socialism and Liberation Florida Total	Party for Socialism and Liberation Florida Added	Party for Socialism and Liberation Florida Deleted	Party for Socialism and Liberation Florida Changed Out	Party for Socialism and Liberation Florida Changed In	Reform Party Total	Reform Party Added	Reform Party Deleted	Reform Party Changed Out	Reform Party Changed In
Alachua	182525	1121	748	86504	462	312	60	139	51746	323	229	77	61	39770	306	182	113	52	4505	30	25	18	16	26	55	679	3	1	5984	35	21	30462	227	108	11745	109	57	124367	676	521	9288	71	40	79913	486	322	96749	550	391	18405	121	56	25146	165	79	939	16	9	5182	50	23	2540	18	7	54183	702	301	33715	123	134	23290	94	60	25446	87	63	24744	70	60	20411	45	124	13279	207	77	24099	297	114	49761	206	180	45584	272	208	2378	8	11	1005	5	1	4	0	1	0	0	19	0	0	0	0	3	0	0	0	0	215	0	2	0	0	536	0	2	3	1	3024	20	15	16	9	683	9	4	1	7	4	1	0	0	1	17	0	1	0	0
Baker	14961	58	30	6155	12	11	45	4	7258	35	12	4	49	1354	11	5	6	2	194	0	2	0	0	44	3	75	0	0	69	1	0	1317	0	1	140	2	0	13078	51	29	282	4	0	6948	27	17	7933	28	13	796	0	0	1205	0	1	44	0	0	35	1	0	63	1	0	2595	25	10	2467	12	2	2635	7	3	2895	7	2	2401	3	4	1878	4	9	1387	14	5	728	5	4	4762	9	10	6966	32	12	30	1	0	29	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	0	0	0	0	143	0	1	0	0	27	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Bay	128544	710	339	36013	156	103	56	25	64208	311	162	33	79	25299	212	63	53	33	3024	31	11	4	9	42	9	715	3	4	1882	17	4	11710	73	22	2925	33	5	107445	567	292	3867	17	12	59805	342	171	66947	350	159	6677	38	8	9069	49	14	672	2	1	845	11	1	1039	9	1	23356	288	51	21090	121	53	20514	85	46	24531	106	40	20601	82	50	18247	28	99	10004	121	26	5669	69	11	24464	89	81	60080	289	152	392	3	0	868	4	4	9	0	0	0	0	14	0	0	0	0	2	0	0	0	0	110	0	0	0	1	371	7	1	0	1	2034	14	7	3	4	458	10	3	1	3	4	0	0	0	0	22	0	0	0	0
Bradford	16152	64	70	6729	13	24	7	2	7077	35	30	3	10	2080	15	14	6	4	266	1	2	0	0	5	1	45	0	2	83	1	0	2158	3	3	169	2	0	13399	57	63	298	1	2	7490	33	38	8540	30	31	1237	1	3	1874	3	1	101	0	0	71	1	0	50	0	0	2778	31	11	2446	9	5	2358	7	14	2900	7	14	2837	6	6	2800	4	20	1333	18	5	813	6	2	4631	9	21	6798	35	30	29	0	0	30	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	58	0	1	0	0	160	1	1	0	0	40	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Brevard	428974	2450	2463	138705	689	801	142	125	178544	800	877	93	205	96323	852	666	223	96	15402	109	119	29	61	81	26	1635	9	11	6724	46	24	36061	206	183	23114	204	156	349121	1874	2021	12319	111	68	199996	1165	1169	224399	1213	1265	20333	101	92	28149	131	133	1680	8	9	9169	73	49	6086	37	33	68347	883	440	54866	327	302	58090	303	264	85658	383	350	75837	337	393	83741	215	710	21540	262	117	20437	233	114	94608	434	587	164865	721	805	1855	5	11	2351	14	7	61	2	1	0	0	83	0	0	0	3	24	1	0	0	0	277	0	0	1	3	1537	8	12	6	1	12258	84	96	21	42	1090	14	10	2	12	19	0	0	0	1	53	0	0	0	0
Broward	1253868	6479	3018	633276	2936	1518	718	1101	275560	1110	749	397	732	324662	2316	701	1341	633	20370	117	50	112	102	303	187	3970	18	11	30878	228	39	289255	1405	537	239507	1978	509	610406	2197	1773	79852	653	149	559828	2704	1459	657294	3169	1494	166766	739	283	233712	1079	438	8918	36	17	102963	814	224	51422	293	113	215669	2238	444	202525	1266	433	212988	978	326	243984	903	423	185429	603	495	189873	485	890	31888	372	73	105119	1040	223	248067	677	768	199807	671	584	12663	94	15	5080	32	10	32	0	0	1	0	55	3	0	0	2	20	0	0	1	0	411	2	2	2	4	3825	15	8	20	16	14635	89	36	85	67	1258	7	4	5	16	13	1	0	0	0	121	0	0	1	0
Calhoun	8675	32	36	5497	19	20	7	24	2271	8	12	21	8	815	5	4	2	0	92	0	0	2	0	7	21	87	1	0	33	0	0	796	2	2	96	1	0	7519	28	34	144	0	0	4012	15	19	4551	17	17	461	1	0	738	2	2	17	0	0	45	0	0	27	0	0	1613	8	10	1226	7	2	1226	7	3	1463	3	5	1330	2	4	1353	4	10	441	1	5	880	6	2	4575	17	18	2159	8	12	19	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	14	0	0	1	0	58	0	0	0	0	11	0	0	1	0	0	0	0	0	0	3	0	0	0	0
Charlotte	134205	869	511	38862	238	159	48	32	57719	333	223	27	72	31944	249	115	60	26	5680	49	14	8	13	34	13	491	3	1	1187	10	4	5459	38	14	4186	27	16	119494	772	463	3388	19	13	62332	411	241	70281	440	263	3038	16	7	4081	26	11	268	2	0	1745	8	6	1039	6	5	14543	190	59	10384	68	31	13135	98	44	22439	170	59	31685	221	87	41317	118	229	4247	68	15	4004	44	13	31395	197	133	54842	319	216	315	4	1	403	1	1	11	0	0	0	0	12	0	0	1	0	6	0	0	0	0	45	0	0	1	0	865	2	0	1	0	4521	45	13	6	11	208	2	1	0	3	2	0	0	0	0	10	0	0	0	0
Citrus	109531	630	489	32884	147	156	53	28	48863	273	182	36	80	24110	188	133	52	32	3674	22	18	10	11	42	10	383	1	0	1203	5	4	2560	27	17	2922	35	20	100066	550	436	2397	12	12	51104	286	204	57466	328	280	1366	16	9	1974	15	13	161	2	0	1240	13	8	845	11	4	13193	159	62	9718	60	53	11442	78	32	18010	116	72	24001	135	94	32615	81	175	4709	69	18	3394	34	20	28503	115	129	46447	254	174	294	2	1	466	0	3	8	0	0	0	0	16	0	1	0	1	3	0	0	0	0	44	0	1	0	0	412	0	0	1	1	2930	22	14	8	3	243	0	1	0	6	3	0	0	0	0	15	0	1	1	0
Clay	150536	1179	455	33834	300	128	109	30	80685	481	210	31	177	31898	352	99	93	32	4119	46	18	16	10	96	8	683	2	3	3671	28	3	14900	174	40	7843	89	24	119084	843	381	4355	43	4	70859	567	197	77742	578	254	8063	91	26	10552	113	27	1035	6	3	2328	29	9	2603	26	4	29289	428	91	23816	230	64	26474	178	45	28412	134	74	22980	118	75	18646	87	104	13141	178	35	5941	108	18	19061	137	89	73463	427	200	679	8	0	1661	9	2	20	1	0	0	0	17	1	0	0	1	4	0	0	0	0	48	0	0	0	1	544	1	2	1	0	3085	39	15	13	4	380	4	1	2	4	2	0	0	0	0	19	0	0	0	0
Collier	222912	1497	630	53700	334	180	63	80	110296	627	306	62	119	53542	507	117	146	72	5374	29	27	15	15	33	18	346	4	1	1830	11	6	8638	68	20	23540	237	59	183390	1140	533	5168	37	11	103719	754	318	117508	731	307	4498	40	8	6234	45	19	476	5	0	8957	83	25	6176	49	18	29348	376	78	21332	206	58	25166	178	50	36214	271	75	44939	294	82	65088	172	287	9831	118	24	7597	89	28	36501	194	131	101339	556	284	450	0	2	655	5	2	14	0	0	0	0	26	0	0	0	0	8	1	0	0	0	64	0	0	0	1	284	5	0	2	0	4500	20	23	13	10	443	3	4	0	4	2	0	0	0	0	33	0	0	0	0
Columbia	40059	243	148	15800	73	60	17	3	17110	95	67	7	21	6177	71	20	11	5	972	4	1	0	6	10	3	190	2	0	327	4	1	5736	38	18	1065	14	1	32123	181	122	618	4	6	18491	117	72	21375	123	75	3351	21	7	4981	26	14	194	3	1	347	10	0	372	1	1	7155	82	24	5713	37	17	5714	28	17	7226	31	21	7310	34	21	6869	29	48	2958	34	11	2299	28	7	10068	35	43	16193	87	63	84	0	1	117	2	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	16	0	0	0	0	96	0	1	0	0	748	4	0	0	3	101	0	0	0	2	0	0	0	0	0	4	0	0	0	0
Miami-Dade	1424290	7109	3257	608599	3093	1498	499	1073	387437	1078	847	464	534	407563	2793	862	1165	524	20691	145	50	85	82	206	250	2560	15	10	16328	82	45	262042	896	636	793832	4173	1631	272412	1005	770	77116	938	165	621432	2789	1475	759788	3253	1710	149370	471	348	216994	650	527	7594	19	16	247390	1685	531	281101	685	588	271622	2478	575	234469	1187	488	229156	1089	388	244707	994	391	197202	804	392	244785	554	1019	42067	331	82	122387	1130	307	109375	330	353	84122	241	208	6343	36	20	2661	9	7	58	0	1	0	0	71	1	0	0	0	46	1	1	0	0	489	0	2	2	0	3269	30	8	11	24	15300	103	36	71	49	1331	8	2	2	11	16	1	0	0	0	111	1	0	1	0
